family	name	dataset	config	weight_file	url	metric	source
pointpillars	pointpillars_hv_secfpn_8xb6-160e_kitti-3d-car	KITTI	configs/pointpillars/pointpillars_hv_secfpn_8xb6-160e_kitti-3d-car.py	hv_pointpillars_secfpn_6x8_160e_kitti-3d-car_20220331_134606-d42d15ed.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_secfpn_6x8_160e_kitti-3d-car/hv_pointpillars_secfpn_6x8_160e_kitti-3d-car_20220331_134606-d42d15ed.pth	AP 77.6	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_8xb6-160e_kitti-3d-3class	KITTI	configs/pointpillars/pointpillars_hv_secfpn_8xb6-160e_kitti-3d-3class.py	hv_pointpillars_secfpn_6x8_160e_kitti-3d-3class_20220301_150306-37dc2420.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_secfpn_6x8_160e_kitti-3d-3class/hv_pointpillars_secfpn_6x8_160e_kitti-3d-3class_20220301_150306-37dc2420.pth	AP 64.07	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d	nuScenes	configs/pointpillars/pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d.py	hv_pointpillars_secfpn_sbn-all_4x8_2x_nus-3d_20210826_225857-f19d00a3.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_secfpn_sbn-all_4x8_2x_nus-3d/hv_pointpillars_secfpn_sbn-all_4x8_2x_nus-3d_20210826_225857-f19d00a3.pth	mAP 34.33 / NDS 49.1	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_sbn-all_8xb4-amp-2x_nus-3d	nuScenes	configs/pointpillars/pointpillars_hv_secfpn_sbn-all_8xb4-amp-2x_nus-3d.py	hv_pointpillars_secfpn_sbn-all_fp16_2x8_2x_nus-3d_20201020_222626-c3f0483e.pth	https://download.openmmlab.com/mmdetection3d/v0.1.0_models/fp16/hv_pointpillars_secfpn_sbn-all_fp16_2x8_2x_nus-3d/hv_pointpillars_secfpn_sbn-all_fp16_2x8_2x_nus-3d_20201020_222626-c3f0483e.pth	mAP 35.19 / NDS 50.27	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_fpn_sbn-all_8xb4-2x_nus-3d	nuScenes	configs/pointpillars/pointpillars_hv_fpn_sbn-all_8xb4-2x_nus-3d.py	hv_pointpillars_fpn_sbn-all_4x8_2x_nus-3d_20210826_104936-fca299c1.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_fpn_sbn-all_4x8_2x_nus-3d/hv_pointpillars_fpn_sbn-all_4x8_2x_nus-3d_20210826_104936-fca299c1.pth	mAP 39.71 / NDS 53.15	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_fpn_sbn-all_8xb4-amp-2x_nus-3d	nuScenes	configs/pointpillars/pointpillars_hv_fpn_sbn-all_8xb4-amp-2x_nus-3d.py	hv_pointpillars_fpn_sbn-all_fp16_2x8_2x_nus-3d_20201021_120719-269f9dd6.pth	https://download.openmmlab.com/mmdetection3d/v0.1.0_models/fp16/hv_pointpillars_fpn_sbn-all_fp16_2x8_2x_nus-3d/hv_pointpillars_fpn_sbn-all_fp16_2x8_2x_nus-3d_20201021_120719-269f9dd6.pth	mAP 39.26 / NDS 53.26	mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_sbn-all_8xb2-2x_lyft-3d	Lyft	configs/pointpillars/pointpillars_hv_secfpn_sbn-all_8xb2-2x_lyft-3d.py	hv_pointpillars_secfpn_sbn-all_2x8_2x_lyft-3d_20210829_100455-82b81c39.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_secfpn_sbn-all_2x8_2x_lyft-3d/hv_pointpillars_secfpn_sbn-all_2x8_2x_lyft-3d_20210829_100455-82b81c39.pth		mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_fpn_sbn-all_8xb2-2x_lyft-3d	Lyft	configs/pointpillars/pointpillars_hv_fpn_sbn-all_8xb2-2x_lyft-3d.py	hv_pointpillars_fpn_sbn-all_2x8_2x_lyft-3d_20210822_095429-0b3d6196.pth	https://download.openmmlab.com/mmdetection3d/v1.0.0_models/pointpillars/hv_pointpillars_fpn_sbn-all_2x8_2x_lyft-3d/hv_pointpillars_fpn_sbn-all_2x8_2x_lyft-3d_20210822_095429-0b3d6196.pth		mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_sbn_2x16_2x_waymoD5-3d-car	Waymo	configs/pointpillars/pointpillars_hv_secfpn_sbn_2x16_2x_waymoD5-3d-car.py	hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-car_20200901_204315-302fc3e7.pth	https://download.openmmlab.com/mmdetection3d/v0.1.0_models/pointpillars/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-car/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-car_20200901_204315-302fc3e7.pth		mmdetection3d/configs/pointpillars/metafile.yml
pointpillars	pointpillars_hv_secfpn_sbn_2x16_2x_waymoD5-3d-3class	Waymo	configs/pointpillars/pointpillars_hv_secfpn_sbn-all_16xb2-2x_waymoD5-3d-3class.py	hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-3class_20200831_204144-d1a706b1.pth	https://download.openmmlab.com/mmdetection3d/v0.1.0_models/pointpillars/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-3class/hv_pointpillars_secfpn_sbn_2x16_2x_waymoD5-3d-3class_20200831_204144-d1a706b1.pth		mmdetection3d/configs/pointpillars/metafile.yml
